Tempo;Pressao;Temperatura
0;0;110.1689
30;3.532875093;119.507825
45;4.3358012505;130.714535
65;5.138727408;138.185675
100;4.817556945;140.05346
150;4.9781421765;139.306346
210;4.817556945;138.559232
260;4.6569717135;137.065004
290;5.138727408;139.306346
295;4.3358012505;130.714535
300;0.321170463;117.64004
