Tempo;Pressao;Temperatura
0;0;1.101
30;3.532;119.50
45;43.358;130.71
65;5.138;138.18
100;4.817;14.00
150;49.781;139.30
210;4.817;138.55
260;46.569;137.06
290;5.138;139.30
295;43.358;130.71
300;0.321;11.76
